Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,550,385,339,28,127,9,38,102,0,0
D:\C\DOD_PONG\src,6,550,385,339,28,127,9,38,102,0,0
